,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
5,WeightedEnsemble,-1568.1452143242373,-696.1576056260967,0.20321154594421387,0.060549259185791016,159.71554708480835,13
10,PatchTST,-2007.9236899364428,-759.0041344863052,0.028118371963500977,0.013431787490844727,5408.8385014534,11
3,TiDE,-1556.4352920202061,-759.8136206862971,0.06373238563537598,0.015767335891723633,19947.254042625427,12
1,TemporalFusionTransformer,-1546.519223513448,-808.2794450617757,0.10936999320983887,0.031350135803222656,9164.765534162521,9
8,DeepAR,-1888.5606963024813,-885.2568350017449,0.07727479934692383,0.04458737373352051,9227.623394966125,10
19,AutoETS,-2664.592468910556,-1111.2350041860298,1.141911268234253,1.1030538082122803,114.87478470802307,6
22,ChronosFineTuned[bolt_small],-3578.5706558153574,-1116.032490940174,0.8415219783782959,0.03167128562927246,16747.169154644012,8
15,DynamicOptimizedTheta,-2631.9473376140563,-1133.1362048791605,0.36810803413391113,0.31768035888671875,142.73785638809204,5
12,ChronosZeroShot[bolt_base],-2539.308451926946,-1148.384911113878,1.5866365432739258,1.4196813106536865,241.90775537490845,7
13,RecursiveTabular,-2594.021879152426,-1413.691932712138,0.11670732498168945,0.08310246467590332,390.8291025161743,2
17,SeasonalNaive,-2640.818190312562,-1524.2811364764218,0.010281562805175781,0.007237672805786133,2.5733072757720947,1
23,DirectTabular,-4101.169309552914,-1795.1891292343353,0.18004512786865234,0.09937119483947754,558.6246824264526,3
24,NPTS,-67597.79113788961,-11719.547594573283,0.18073368072509766,0.0945885181427002,11.997615575790405,4
0,TemporalFusionTransformer_FULL,-1546.519223513448,,0.08255648612976074,,68.57290863990784,22
2,TiDE_FULL,-1556.4352920202061,,0.08273100852966309,,111.16230154037476,25
4,WeightedEnsemble_FULL,-1568.1452143242373,,0.2064361572265625,,159.71554708480835,26
6,DeepAR_FULL,-1600.58288171394,,0.05303621292114258,,68.52924966812134,23
7,RecursiveTabular_FULL,-1744.0073057149152,,0.4486424922943115,,6.741047382354736,15
9,PatchTST_FULL,-2007.9236899364428,,0.03957486152648926,,67.07675433158875,24
11,ChronosZeroShot[bolt_base]_FULL,-2539.308451926946,,1.5396993160247803,,0.009487390518188477,20
14,DynamicOptimizedTheta_FULL,-2631.9473376140563,,0.6905314922332764,,0.006216764450073242,18
16,SeasonalNaive_FULL,-2640.818190312562,,0.012933731079101562,,0.005336284637451172,14
18,AutoETS_FULL,-2664.592468910556,,1.1216681003570557,,0.006497859954833984,19
20,DirectTabular_FULL,-2752.772096774347,,0.14614200592041016,,2.648010015487671,16
21,ChronosFineTuned[bolt_small]_FULL,-3578.5706558153574,,0.9279782772064209,,236.80896162986755,21
25,NPTS_FULL,-68061.87799442711,,0.09558677673339844,,0.005566596984863281,17
