,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
3,WeightedEnsemble,-4636.060111407619,-998.3574938061231,0.15653729438781738,0.06110239028930664,16.76069951057434,5
1,PatchTST,-4114.958029969903,-1010.7302252108236,0.03599953651428223,0.014001131057739258,3390.17467713356,3
7,TiDE,-6236.045845248427,-1108.8034582179675,0.044515132904052734,0.017346620559692383,7666.634370803833,4
9,TemporalFusionTransformer,-6376.220942426273,-1122.6514261311368,0.07202291488647461,0.029754638671875,6339.148998260498,2
5,DynamicOptimizedTheta,-5758.920886161545,-1408.0356585203822,40.4652636051178,1.3190181255340576,361.5703115463257,1
0,PatchTST_FULL,-4114.958029969903,,0.03499913215637207,,40.120583295822144,8
2,WeightedEnsemble_FULL,-4636.060111407619,,0.1487281322479248,,16.76069951057434,10
4,DynamicOptimizedTheta_FULL,-5758.920886161545,,43.38264060020447,,0.0030050277709960938,6
6,TiDE_FULL,-6236.045845248427,,0.037508249282836914,,38.45279240608215,9
8,TemporalFusionTransformer_FULL,-6376.220942426273,,0.07222127914428711,,148.63121247291565,7
