,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
5,WeightedEnsemble,-925.7419698898282,-761.6054202129801,0.15738582611083984,0.05146288871765137,13.155387878417969,5
9,PatchTST,-1150.842996306053,-808.2098704155702,0.03475451469421387,0.011016368865966797,2948.279592037201,3
7,TemporalFusionTransformer,-954.9917620307131,-851.1412538824798,0.0725243091583252,0.025522470474243164,6210.759940862656,2
3,TiDE,-923.7547275849207,-851.2140203643239,0.04605984687805176,0.014924049377441406,6509.438097953796,4
1,DynamicOptimizedTheta,-920.1380679887721,-1125.9882219437736,38.948206663131714,0.3618297576904297,395.4927797317505,1
0,DynamicOptimizedTheta_FULL,-920.1380679887721,,40.73478674888611,,0.0039975643157958984,6
2,TiDE_FULL,-923.7547275849207,,0.04510235786437988,,141.11151695251465,9
4,WeightedEnsemble_FULL,-925.7419698898282,,0.1656653881072998,,13.155387878417969,10
6,TemporalFusionTransformer_FULL,-954.9917620307131,,0.07967281341552734,,98.98789620399475,7
8,PatchTST_FULL,-1150.842996306053,,0.03652763366699219,,80.06311058998108,8
