,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
3,WeightedEnsemble,-3640.9534670294825,-1157.5406996255385,0.0912630558013916,0.030811071395874023,161.49816489219666,13
1,PatchTST,-3254.815574899688,-1248.834578540638,0.038118839263916016,0.013789176940917969,6397.299929618835,11
6,TiDE,-4266.049548885802,-1250.9906464510234,0.05151176452636719,0.017021894454956055,28387.156851530075,12
14,TemporalFusionTransformer,-5592.108959386204,-1411.649297918886,0.08037519454956055,0.029051542282104492,9776.233713388443,9
7,DeepAR,-4808.571503483521,-1595.6561638307587,0.0788121223449707,0.044794559478759766,10883.20474100113,10
17,DynamicOptimizedTheta,-6008.638370920383,-1846.8028338692554,2.4623210430145264,2.0450503826141357,183.81597232818604,5
19,AutoETS,-6060.097486351352,-1858.5966709291406,1.5361943244934082,1.1454122066497803,172.44792532920837,6
11,ChronosZeroShot[bolt_base],-5291.987644879321,-1923.9450220238375,1.491755485534668,1.381502389907837,232.9924726486206,7
9,ChronosFineTuned[bolt_small],-5115.027886519382,-2006.378887408081,0.8050057888031006,0.045130014419555664,16729.853860139847,8
21,RecursiveTabular,-6971.903027897724,-2209.6520244979747,0.09543061256408691,0.09650993347167969,378.603595495224,2
23,SeasonalNaive,-7033.339635519632,-2568.596291875516,0.012435674667358398,0.008661031723022461,4.641914129257202,1
4,DirectTabular,-3885.5208308153833,-3160.4688117001106,0.1443614959716797,0.10162591934204102,541.3629941940308,3
24,NPTS,-64740.67427256035,-20511.88111749087,0.1733989715576172,0.10278201103210449,16.670496702194214,4
0,PatchTST_FULL,-3254.815574899688,,0.031168460845947266,,54.43331789970398,24
2,WeightedEnsemble_FULL,-3640.9534670294825,,0.0952455997467041,,161.49816489219666,26
5,TiDE_FULL,-4266.049548885802,,0.062483787536621094,,108.55169701576233,25
8,ChronosFineTuned[bolt_small]_FULL,-5115.027886519382,,1.0022075176239014,,230.3470640182495,21
10,ChronosZeroShot[bolt_base]_FULL,-5291.987644879321,,1.4957683086395264,,0.0053174495697021484,20
12,DeepAR_FULL,-5447.618703997725,,0.07442092895507812,,66.46655654907227,23
13,TemporalFusionTransformer_FULL,-5592.108959386204,,0.11708617210388184,,50.6348831653595,22
15,DirectTabular_FULL,-5742.285327240052,,0.10922932624816895,,5.244978904724121,16
16,DynamicOptimizedTheta_FULL,-6008.638370920383,,2.4311437606811523,,0.0061528682708740234,18
18,AutoETS_FULL,-6060.097486351352,,2.1404716968536377,,0.0063533782958984375,19
20,RecursiveTabular_FULL,-6644.748023694515,,0.2626688480377197,,4.577165365219116,15
22,SeasonalNaive_FULL,-7033.339635519632,,0.011725902557373047,,0.005975008010864258,14
25,NPTS_FULL,-65471.5759680216,,0.09841156005859375,,0.0058400630950927734,17
